__time,/dynamic_joint_states/header/stamp,/dynamic_joint_states/interface_values.0/values.0,/dynamic_joint_states/interface_values.0/values.1,/dynamic_joint_states/interface_values.0/values.2,/dynamic_joint_states/interface_values.0/values.3,/dynamic_joint_states/interface_values.0/values.4,/dynamic_joint_states/interface_values.0/values.5,/dynamic_joint_states/interface_values.0/values.6,/dynamic_joint_states/interface_values.0/values.7,/dynamic_joint_states/interface_values.0/values.8,/dynamic_joint_states/interface_values.0/values.9,/dynamic_joint_states/interface_values.1/values.0,/dynamic_joint_states/interface_values.2/values.0,/dynamic_joint_states/interface_values.2/values.1,/dynamic_joint_states/interface_values.2/values.2,/dynamic_joint_states/interface_values.2/values.3,/dynamic_joint_states/interface_values.2/values.4,/dynamic_joint_states/interface_values.2/values.5,/dynamic_joint_states/interface_values.2/values.6,/dynamic_joint_states/interface_values.2/values.7,/dynamic_joint_states/interface_values.2/values.8,/dynamic_joint_states/interface_values.2/values.9,/dynamic_joint_states/interface_values.3/values.0,/dynamic_joint_states/interface_values.3/values.1,/dynamic_joint_states/interface_values.3/values.2,/dynamic_joint_states/interface_values.4/values.0,/dynamic_joint_states/interface_values.4/values.1,/dynamic_joint_states/interface_values.4/values.2,Acceleration,Current (Input),Current (Motor),ERPM,Voltage
1662034738.839126,1662034738.839126,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.998598,-0.174341,-0.495993,0.244141,2.075195,0.002508,-0.003842,-0.608740,0.244141,0.793356,0.004883,0.013184,1.017090,-8.789063,26.367188,34.863281,0.004883,0.000000,0.000000,0.000000,11.900000
1662034738.849072,1662034738.849072,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.979501,-0.206468,-0.504893,0.732422,1.586914,0.002399,-0.004111,-0.608606,0.000000,0.793458,0.004883,0.003418,1.022949,-8.789063,26.367188,34.863281,0.004883,0.000000,0.000000,0.000000,12.000000
1662034738.849072,1662034738.849072,0.000000,0.000000,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.979501,-0.206468,-0.504893,0.732422,1.586914,0.002399,-0.004111,-0.608606,0.000000,0.793458,0.004883,0.003418,1.022949,-8.789063,26.367188,34.863281,0.004883,0.000000,0.000000,0.000000,12.000000
1662034738.859056,1662034738.859056,-2.000000,-0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.957617,-0.173617,-0.490152,0.732422,2.136230,0.002473,-0.003805,-0.608457,0.366211,0.793574,-0.001465,0.013184,1.016602,-8.789063,26.367188,34.863281,-0.001465,0.000000,0.000000,-2.000000,12.000000
1662034738.859056,1662034738.859056,-2.000000,-0.000433,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.957617,-0.173617,-0.490152,0.732422,2.136230,0.002473,-0.003805,-0.608457,0.366211,0.793574,-0.001465,0.013184,1.016602,-8.789063,26.367188,34.863281,-0.001465,0.000000,0.000000,-2.000000,12.000000
1662034738.869100,1662034738.869100,-4.000000,-0.000867,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.928432,-0.194303,-0.597194,0.305176,1.892090,0.003105,-0.004516,-0.608250,0.488281,0.793727,0.003906,0.013184,1.017578,-9.082031,26.953125,34.570313,0.003906,0.000000,0.000000,-4.000000,11.900000
1662034738.869100,1662034738.869100,-4.000000,-0.000867,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.928432,-0.194303,-0.597194,0.305176,1.892090,0.003105,-0.004516,-0.608250,0.488281,0.793727,0.003906,0.013184,1.017578,-9.082031,26.953125,34.570313,0.003906,0.000000,0.000000,-4.000000,11.900000
1662034738.879072,1662034738.879072,-4.000000,-0.000867,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.918583,-0.165618,-0.558400,0.732422,1.892090,0.002989,-0.004111,-0.608184,0.244141,0.793780,0.001953,0.008301,1.019043,-9.082031,26.953125,34.570313,0.001953,0.000000,0.000000,-4.000000,11.900000
1662034738.879072,1662034738.879072,-4.000000,-0.000867,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,11.900000,294344.000000,0.000000,74.918583,-0.165618,-0.558400,0.732422,1.892090,0.002989,-0.004111,-0.608184,0.244141,0.793780,0.001953,0.008301,1.019043,-9.082031,26.953125,34.570313,0.001953,0.000000,0.000000,-4.000000,11.900000
1662034738.889129,1662034738.889129,-1.000000,-0.000217,0.000000,0.000000,0.343700,0.000000,0.001900,99472.000000,12.000000,294344.000000,0.000000,74.898673,-0.140592,-0.654055,0.183105,2.014160,0.003785,-0.004445,-0.608044,0.305176,0.793882,0.000488,0.014160,1.019531,-9.082031,26.953125,34.570313,0.000488,0.000000,0.000000,-1.000000,12.000000
